year,city,country,avg_temp
1841,Sydney,Australia,16.56
1842,Sydney,Australia,16.57
1843,Sydney,Australia,16.88
1844,Sydney,Australia,16.22
1845,Sydney,Australia,16.64
1846,Sydney,Australia,17.07
1847,Sydney,Australia,16.60
1848,Sydney,Australia,16.25
1849,Sydney,Australia,16.08
1850,Sydney,Australia,16.51
1851,Sydney,Australia,16.60
1852,Sydney,Australia,16.39
1853,Sydney,Australia,16.10
1854,Sydney,Australia,16.48
1855,Sydney,Australia,16.90
1856,Sydney,Australia,16.76
1857,Sydney,Australia,16.69
1858,Sydney,Australia,17.04
1859,Sydney,Australia,16.26
1860,Sydney,Australia,16.33
1861,Sydney,Australia,16.72
1862,Sydney,Australia,16.90
1863,Sydney,Australia,16.53
1864,Sydney,Australia,16.37
1865,Sydney,Australia,16.75
1866,Sydney,Australia,16.96
1867,Sydney,Australia,17.38
1868,Sydney,Australia,16.96
1869,Sydney,Australia,16.91
1870,Sydney,Australia,16.84
1871,Sydney,Australia,16.75
1872,Sydney,Australia,16.71
1873,Sydney,Australia,16.78
1874,Sydney,Australia,16.75
1875,Sydney,Australia,16.95
1876,Sydney,Australia,17.30
1877,Sydney,Australia,17.04
1878,Sydney,Australia,17.24
1879,Sydney,Australia,16.31
1880,Sydney,Australia,16.65
1881,Sydney,Australia,16.63
1882,Sydney,Australia,17.03
1883,Sydney,Australia,16.46
1884,Sydney,Australia,16.86
1885,Sydney,Australia,16.95
1886,Sydney,Australia,16.88
1887,Sydney,Australia,16.66
1888,Sydney,Australia,16.72
1889,Sydney,Australia,17.17
1890,Sydney,Australia,16.77
1891,Sydney,Australia,16.74
1892,Sydney,Australia,16.60
1893,Sydney,Australia,16.67
1894,Sydney,Australia,16.83
1895,Sydney,Australia,16.85
1896,Sydney,Australia,16.85
1897,Sydney,Australia,17.08
1898,Sydney,Australia,17.04
1899,Sydney,Australia,17.06
1900,Sydney,Australia,16.98
1901,Sydney,Australia,16.86
1902,Sydney,Australia,16.98
1903,Sydney,Australia,16.87
1904,Sydney,Australia,16.58
1905,Sydney,Australia,16.57
1906,Sydney,Australia,16.92
1907,Sydney,Australia,16.87
1908,Sydney,Australia,16.67
1909,Sydney,Australia,16.47
1910,Sydney,Australia,16.93
1911,Sydney,Australia,16.85
1912,Sydney,Australia,17.10
1913,Sydney,Australia,17.23
1914,Sydney,Australia,17.87
1915,Sydney,Australia,17.31
1916,Sydney,Australia,16.97
1917,Sydney,Australia,16.55
1918,Sydney,Australia,16.56
1919,Sydney,Australia,17.51
1920,Sydney,Australia,16.65
1921,Sydney,Australia,17.15
1922,Sydney,Australia,17.22
1923,Sydney,Australia,17.20
1924,Sydney,Australia,16.65
1925,Sydney,Australia,16.55
1926,Sydney,Australia,17.25
1927,Sydney,Australia,16.42
1928,Sydney,Australia,17.40
1929,Sydney,Australia,16.69
1930,Sydney,Australia,17.10
1931,Sydney,Australia,16.86
1932,Sydney,Australia,16.97
1933,Sydney,Australia,16.76
1934,Sydney,Australia,16.89
1935,Sydney,Australia,16.55
1936,Sydney,Australia,16.79
1937,Sydney,Australia,16.97
1938,Sydney,Australia,17.39
1939,Sydney,Australia,17.33
1940,Sydney,Australia,17.64
1941,Sydney,Australia,16.86
1942,Sydney,Australia,17.30
1943,Sydney,Australia,16.31
1944,Sydney,Australia,16.99
1945,Sydney,Australia,16.89
1946,Sydney,Australia,17.04
1947,Sydney,Australia,16.94
1948,Sydney,Australia,16.42
1949,Sydney,Australia,16.55
1950,Sydney,Australia,17.14
1951,Sydney,Australia,16.73
1952,Sydney,Australia,16.83
1953,Sydney,Australia,16.73
1954,Sydney,Australia,16.93
1955,Sydney,Australia,16.99
1956,Sydney,Australia,16.64
1957,Sydney,Australia,17.06
1958,Sydney,Australia,17.41
1959,Sydney,Australia,17.23
1960,Sydney,Australia,16.68
1961,Sydney,Australia,16.86
1962,Sydney,Australia,16.74
1963,Sydney,Australia,16.93
1964,Sydney,Australia,16.96
1965,Sydney,Australia,17.00
1966,Sydney,Australia,16.64
1967,Sydney,Australia,16.85
1968,Sydney,Australia,17.27
1969,Sydney,Australia,17.18
1970,Sydney,Australia,16.78
1971,Sydney,Australia,16.84
1972,Sydney,Australia,17.03
1973,Sydney,Australia,17.81
1974,Sydney,Australia,16.98
1975,Sydney,Australia,17.34
1976,Sydney,Australia,17.01
1977,Sydney,Australia,17.34
1978,Sydney,Australia,17.16
1979,Sydney,Australia,17.56
1980,Sydney,Australia,18.00
1981,Sydney,Australia,17.49
1982,Sydney,Australia,17.30
1983,Sydney,Australia,17.47
1984,Sydney,Australia,16.91
1985,Sydney,Australia,17.09
1986,Sydney,Australia,17.06
1987,Sydney,Australia,17.37
1988,Sydney,Australia,17.89
1989,Sydney,Australia,17.26
1990,Sydney,Australia,17.47
1991,Sydney,Australia,17.85
1992,Sydney,Australia,16.89
1993,Sydney,Australia,17.42
1994,Sydney,Australia,17.36
1995,Sydney,Australia,16.95
1996,Sydney,Australia,17.05
1997,Sydney,Australia,17.51
1998,Sydney,Australia,18.05
1999,Sydney,Australia,17.55
2000,Sydney,Australia,17.57
2001,Sydney,Australia,17.85
2002,Sydney,Australia,17.73
2003,Sydney,Australia,17.59
2004,Sydney,Australia,17.87
2005,Sydney,Australia,18.03
2006,Sydney,Australia,17.75
2007,Sydney,Australia,18.02
2008,Sydney,Australia,17.32
2009,Sydney,Australia,18.18
2010,Sydney,Australia,18.00
2011,Sydney,Australia,17.71
2012,Sydney,Australia,17.47
2013,Sydney,Australia,18.09
